Text,Tint,Tref,Cooler,Resistor,Data,Hora
26.940001,47.695312,75.000000,0.000000,100.000000,2021/3/22, 13:01:23
26.950001,46.857422,75.000000,0.000000,100.000000,2021/3/22, 13:01:25
26.959999,45.922852,75.000000,0.000000,100.000000,2021/3/22, 13:01:27
26.959999,46.438477,75.000000,0.000000,100.000000,2021/3/22, 13:01:29
26.959999,45.536133,75.000000,0.000000,100.000000,2021/3/22, 13:01:31
26.959999,45.890625,75.000000,0.000000,100.000000,2021/3/22, 13:01:33
26.969999,46.116211,75.000000,0.000000,100.000000,2021/3/22, 13:01:35
26.969999,45.665039,75.000000,0.000000,100.000000,2021/3/22, 13:01:37
26.969999,45.793945,75.000000,0.000000,100.000000,2021/3/22, 13:01:39
26.980000,46.535156,75.000000,0.000000,100.000000,2021/3/22, 13:01:41
26.969999,46.438477,75.000000,0.000000,100.000000,2021/3/22, 13:01:43
26.980000,47.244141,75.000000,0.000000,100.000000,2021/3/22, 13:01:45
26.990000,47.727539,75.000000,0.000000,100.000000,2021/3/22, 13:01:47
26.990000,47.791992,75.000000,0.000000,100.000000,2021/3/22, 13:01:49
26.990000,47.147461,75.000000,0.000000,100.000000,2021/3/22, 13:01:51
27.000000,47.373047,75.000000,0.000000,100.000000,2021/3/22, 13:01:53
26.990000,47.308594,75.000000,0.000000,100.000000,2021/3/22, 13:01:55
