Text,Tint,Tref,Cooler,Resistor,Data,Hora
26.840000,41.765625,45.000000,43.583984,0.000000,2021/3/20, 22:35:56
26.840000,42.539062,45.000000,43.583984,0.000000,2021/3/20, 22:35:57
26.840000,42.539062,45.000000,0.000000,0.868164,2021/3/20, 22:35:58
26.850000,43.280273,45.000000,0.000000,0.868164,2021/3/20, 22:35:59
26.830000,43.280273,45.000000,0.000000,0.601562,2021/3/20, 22:36:00
26.840000,42.345703,45.000000,0.000000,12.601562,2021/3/20, 22:36:01
26.840000,42.345703,45.000000,0.000000,10.583008,2021/3/20, 22:36:02
26.840000,41.733398,45.000000,0.000000,19.972656,2021/3/20, 22:36:03
26.840000,41.733398,45.000000,0.000000,20.177734,2021/3/20, 22:36:04
26.840000,41.733398,45.000000,0.000000,23.444336,2021/3/20, 22:36:05
26.840000,41.540039,45.000000,0.000000,28.837891,2021/3/20, 22:36:06
26.830000,41.540039,45.000000,0.000000,31.331055,2021/3/20, 22:36:07
26.850000,41.443359,45.000000,0.000000,35.854492,2021/3/20, 22:36:08
26.840000,41.443359,45.000000,0.000000,38.927734,2021/3/20, 22:36:09
26.840000,40.702148,45.000000,0.000000,50.637695,2021/3/20, 22:36:10
26.840000,40.702148,45.000000,0.000000,51.229492,2021/3/20, 22:36:11
26.850000,41.217773,45.000000,0.000000,49.855469,2021/3/20, 22:36:12
26.840000,41.217773,45.000000,0.000000,56.215820,2021/3/20, 22:36:13
26.840000,40.637695,45.000000,0.000000,66.378906,2021/3/20, 22:36:14
26.840000,40.637695,45.000000,0.000000,67.840820,2021/3/20, 22:36:15
26.840000,40.798828,45.000000,0.000000,70.430664,2021/3/20, 22:36:16
26.850000,40.798828,45.000000,0.000000,75.437500,2021/3/20, 22:36:17
26.840000,41.088867,45.000000,0.000000,76.448242,2021/3/20, 22:36:18
26.840000,41.088867,45.000000,0.000000,81.809570,2021/3/20, 22:36:19
26.850000,41.830078,45.000000,0.000000,77.567383,2021/3/20, 22:36:20
26.840000,41.830078,45.000000,0.000000,84.443359,2021/3/20, 22:36:21
26.850000,41.346680,45.000000,0.000000,92.930664,2021/3/20, 22:36:22
26.850000,41.346680,45.000000,0.000000,94.166992,2021/3/20, 22:36:23
26.840000,43.119141,45.000000,0.000000,78.323242,2021/3/20, 22:36:24
26.850000,43.119141,45.000000,0.000000,89.066406,2021/3/20, 22:36:25
26.860001,42.667969,45.000000,0.000000,95.910156,2021/3/20, 22:36:26
26.850000,42.667969,45.000000,0.000000,95.986328,2021/3/20, 22:36:27
26.850000,42.732422,45.000000,0.000000,97.609375,2021/3/20, 22:36:28
26.850000,42.732422,45.000000,0.000000,100.000000,2021/3/20, 22:36:29
26.860001,44.537109,45.000000,0.000000,82.615234,2021/3/20, 22:36:30
26.860001,44.537109,45.000000,0.000000,92.101562,2021/3/20, 22:36:31
26.860001,45.536133,45.000000,0.000000,81.575195,2021/3/20, 22:36:32
26.870001,45.536133,45.000000,0.000000,86.034180,2021/3/20, 22:36:33
26.860001,44.569336,45.000000,0.000000,96.132812,2021/3/20, 22:36:34
26.860001,44.569336,45.000000,0.000000,91.729492,2021/3/20, 22:36:35
26.870001,45.310547,45.000000,0.000000,84.006836,2021/3/20, 22:36:36
26.860001,45.310547,45.000000,0.000000,87.402344,2021/3/20, 22:36:37
26.860001,45.149414,45.000000,0.000000,88.864258,2021/3/20, 22:36:38
26.860001,45.149414,45.000000,0.000000,87.909180,2021/3/20, 22:36:39
26.870001,45.149414,45.000000,0.000000,87.759766,2021/3/20, 22:36:40
26.870001,43.828125,45.000000,0.000000,100.000000,2021/3/20, 22:36:41
26.860001,43.828125,45.000000,0.000000,96.709961,2021/3/20, 22:36:42
26.870001,43.538086,45.000000,0.000000,100.000000,2021/3/20, 22:36:43
26.870001,43.538086,45.000000,0.000000,100.000000,2021/3/20, 22:36:44
26.870001,43.989258,45.000000,0.000000,97.583008,2021/3/20, 22:36:45
26.870001,43.989258,45.000000,0.000000,100.000000,2021/3/20, 22:36:46
26.870001,44.053711,45.000000,0.000000,100.000000,2021/3/20, 22:36:47
26.870001,44.053711,45.000000,0.000000,100.000000,2021/3/20, 22:36:48
26.870001,44.343750,45.000000,0.000000,100.000000,2021/3/20, 22:36:49
26.870001,44.343750,45.000000,0.000000,100.000000,2021/3/20, 22:36:50
26.870001,44.343750,45.000000,0.000000,100.000000,2021/3/20, 22:36:51
26.870001,44.343750,45.000000,0.000000,100.000000,2021/3/20, 22:36:52
26.870001,45.020508,45.000000,0.000000,96.493164,2021/3/20, 22:36:53
26.879999,45.020508,45.000000,0.000000,99.856445,2021/3/20, 22:36:54
26.870001,46.567383,45.000000,0.000000,82.820312,2021/3/20, 22:36:55
26.870001,46.567383,45.000000,0.000000,88.987305,2021/3/20, 22:36:56
26.870001,45.407227,45.000000,0.000000,100.000000,2021/3/20, 22:36:57
26.870001,45.407227,45.000000,0.000000,93.973633,2021/3/20, 22:36:58
26.879999,44.956055,45.000000,0.000000,98.529297,2021/3/20, 22:36:59
26.879999,44.956055,45.000000,0.000000,96.317383,2021/3/20, 22:37:00
26.879999,45.793945,45.000000,0.000000,87.144531,2021/3/20, 22:37:01
26.870001,45.793945,45.000000,0.000000,90.540039,2021/3/20, 22:37:02
26.870001,45.117188,45.000000,0.000000,97.190430,2021/3/20, 22:37:03
26.879999,45.117188,45.000000,0.000000,93.689453,2021/3/20, 22:37:04
26.870001,44.053711,45.000000,0.000000,100.000000,2021/3/20, 22:37:05
26.870001,44.053711,45.000000,0.000000,100.000000,2021/3/20, 22:37:06
26.860001,45.342773,45.000000,0.000000,87.666016,2021/3/20, 22:37:07
26.870001,45.342773,45.000000,0.000000,93.768555,2021/3/20, 22:37:08
26.879999,45.955078,45.000000,0.000000,86.690430,2021/3/20, 22:37:09
26.870001,45.955078,45.000000,0.000000,88.796875,2021/3/20, 22:37:10
26.879999,44.923828,45.000000,0.000000,99.185547,2021/3/20, 22:37:11
26.870001,44.923828,45.000000,0.000000,94.105469,2021/3/20, 22:37:12
26.879999,45.117188,45.000000,0.000000,92.054688,2021/3/20, 22:37:13
26.870001,45.117188,45.000000,0.000000,92.904297,2021/3/20, 22:37:14
26.870001,45.117188,45.000000,0.000000,92.787109,2021/3/20, 22:37:15
26.870001,45.246094,45.000000,0.000000,91.251953,2021/3/20, 22:37:16
26.879999,45.246094,45.000000,0.000000,91.650391,2021/3/20, 22:37:17
26.870001,45.342773,45.000000,0.000000,90.340820,2021/3/20, 22:37:18
26.870001,45.342773,45.000000,0.000000,90.481445,2021/3/20, 22:37:19
26.879999,45.536133,45.000000,0.000000,88.011719,2021/3/20, 22:37:20
26.870001,45.536133,45.000000,0.000000,88.442383,2021/3/20, 22:37:21
26.870001,46.374023,45.000000,0.000000,78.689453,2021/3/20, 22:37:22
